insertId,jsonPayload.message,logName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
hrq10tfl3v2qg,"Mar 14 21:16:40 powerdns pdns[4979]: Remote 172.253.7.70 wants 'xn--ahorrams-fza.com|AAAA', do = 1, bufsize = 1400: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.941824802Z
hrq10tfl3v2qf,"Mar 14 21:16:40 powerdns pdns_server[4979]: Remote 172.253.7.70 wants 'xn--ahorrams-fza.com|AAAA', do = 1, bufsize = 1400: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.941822129Z
hrq10tfl3v2qe,"Mar 14 21:16:40 powerdns pdns[4979]: Query: SELECT content,ttl,prio,type,domain_id,disabled,name,auth FROM records WHERE disabled=0 and name=:qname and domain_id=:domain_id",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.931187692Z
hrq10tfl3v2qd,"Mar 14 21:16:40 powerdns pdns[4979]: Query: SELECT content,ttl,prio,type,domain_id,disabled,name,auth FROM records WHERE disabled=0 and type=:qtype and name=:qname",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.931187294Z
hrq10tfl3v2qc,"Mar 14 21:16:40 powerdns pdns_server[4979]: Query: SELECT content,ttl,prio,type,domain_id,disabled,name,auth FROM records WHERE disabled=0 and name=:qname and domain_id=:domain_id",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.931186948Z
hrq10tfl3v2qb,"Mar 14 21:16:40 powerdns pdns_server[4979]: Query: SELECT content,ttl,prio,type,domain_id,disabled,name,auth FROM records WHERE disabled=0 and type=:qtype and name=:qname",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.931186597Z
hrq10tfl3v2qa,"Mar 14 21:16:40 powerdns pdns[4979]: Remote 74.125.75.84 wants 'xn--ahorrams-fza.com|A', do = 1, bufsize = 1400: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.931183231Z
hrq10tfl3v2q9,"Mar 14 21:16:40 powerdns pdns_server[4979]: Remote 74.125.75.84 wants 'xn--ahorrams-fza.com|A', do = 1, bufsize = 1400: packetcache MISS",projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:16:41.686088672Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:16:40.930657024Z
152fldmfkxdgs9,Mar 14 21:15:37 powerdns systemd[1]: Started Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro).,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:15:37.681329573Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:15:37.640901707Z
152fldmfkxdgs8,Mar 14 21:15:37 powerdns systemd[1]: Starting Poll for Ubuntu Pro licenses (Only enabled on GCP LTS non-pro)...,projects/gcp-test-pablo-glez-asir2/logs/syslog,2022-03-14T21:15:37.681329573Z,1692766706097328176,gcp-test-pablo-glez-asir2,europe-west1-b,gce_instance,2022-03-14T21:15:37.008068609Z
